host_id,host_name,host_since,host_location,host_response_time,host_is_superhost,host_listings_count
80885889,Ana Maria Y Juan De La Cruz,2016-06-30,"Málaga, Spain",within a few hours,f,1
51981173,Juan Manuel,2015-12-22,"Málaga, Spain",within an hour,t,4
12755454,Medyfarm Gestion,2014-03-03,"Málaga, Spain",within an hour,f,23
427501131,Sabine,2021-10-15,Unknown,within an hour,t,1
466543187,Verónica,2022-06-28,Unknown,within an hour,f,1
8083402,Regina,2013-08-11,"Málaga, Spain",within an hour,t,2
361016843,Marisa,2020-08-07,Unknown,within an hour,f,1
451597379,Ruiz Villafranca,2022-03-28,Unknown,within an hour,f,3
331101455,Mª Ángeles,2020-01-27,Unknown,within an hour,f,1
126914691,Ines,2017-04-21,"Málaga, Spain",within an hour,f,5
46245425,Maria Jesus,2015-10-10,"Rincón de la Victoria, Spain",within an hour,f,3
8028192,Mabel,2013-08-08,"Andalusia, Spain",within an hour,t,3
30267525,Virginia,2015-03-30,"Andalusia, Spain",within an hour,f,8
4017325,Cyril,2012-10-30,"Bostens, France",within an hour,t,2
516157795,Farah,2023-05-23,"Málaga, Spain",a few days or more,f,3
